,time,mm:ss,filename,bats_present,confidence
401,401,06:41,bat2_24june_2200_newchunks/imgs/chunk401square.png,TRUE,1
402,402,06:42,bat2_24june_2200_newchunks/imgs/chunk402square.png,TRUE,1
403,403,06:43,bat2_24june_2200_newchunks/imgs/chunk403square.png,TRUE,0.988281
405,405,06:45,bat2_24june_2200_newchunks/imgs/chunk405square.png,TRUE,0.617188
408,408,06:48,bat2_24june_2200_newchunks/imgs/chunk408square.png,TRUE,1
409,409,06:49,bat2_24june_2200_newchunks/imgs/chunk409square.png,TRUE,1
411,411,06:51,bat2_24june_2200_newchunks/imgs/chunk411square.png,TRUE,1
412,412,06:52,bat2_24june_2200_newchunks/imgs/chunk412square.png,TRUE,1
413,413,06:53,bat2_24june_2200_newchunks/imgs/chunk413square.png,TRUE,1
414,414,06:54,bat2_24june_2200_newchunks/imgs/chunk414square.png,TRUE,1
415,415,06:55,bat2_24june_2200_newchunks/imgs/chunk415square.png,TRUE,1
417,417,06:57,bat2_24june_2200_newchunks/imgs/chunk417square.png,TRUE,0.996094
418,418,06:58,bat2_24june_2200_newchunks/imgs/chunk418square.png,TRUE,1
419,419,06:59,bat2_24june_2200_newchunks/imgs/chunk419square.png,TRUE,0.996094
422,422,07:02,bat2_24june_2200_newchunks/imgs/chunk422square.png,TRUE,1
423,423,07:03,bat2_24june_2200_newchunks/imgs/chunk423square.png,TRUE,1
424,424,07:04,bat2_24june_2200_newchunks/imgs/chunk424square.png,TRUE,1
427,427,07:07,bat2_24june_2200_newchunks/imgs/chunk427square.png,TRUE,0.996094
428,428,07:08,bat2_24june_2200_newchunks/imgs/chunk428square.png,TRUE,1
430,430,07:10,bat2_24june_2200_newchunks/imgs/chunk430square.png,TRUE,0.917969
431,431,07:11,bat2_24june_2200_newchunks/imgs/chunk431square.png,TRUE,0.996094
432,432,07:12,bat2_24june_2200_newchunks/imgs/chunk432square.png,TRUE,1
434,434,07:14,bat2_24june_2200_newchunks/imgs/chunk434square.png,TRUE,1
437,437,07:17,bat2_24june_2200_newchunks/imgs/chunk437square.png,TRUE,1
438,438,07:18,bat2_24june_2200_newchunks/imgs/chunk438square.png,TRUE,1
439,439,07:19,bat2_24june_2200_newchunks/imgs/chunk439square.png,TRUE,1
440,440,07:20,bat2_24june_2200_newchunks/imgs/chunk440square.png,TRUE,1
441,441,07:21,bat2_24june_2200_newchunks/imgs/chunk441square.png,TRUE,0.96875
443,443,07:23,bat2_24june_2200_newchunks/imgs/chunk443square.png,TRUE,0.617188
444,444,07:24,bat2_24june_2200_newchunks/imgs/chunk444square.png,TRUE,0.980469
445,445,07:25,bat2_24june_2200_newchunks/imgs/chunk445square.png,TRUE,0.875
446,446,07:26,bat2_24june_2200_newchunks/imgs/chunk446square.png,TRUE,1
447,447,07:27,bat2_24june_2200_newchunks/imgs/chunk447square.png,TRUE,1
448,448,07:28,bat2_24june_2200_newchunks/imgs/chunk448square.png,TRUE,0.617188
451,451,07:31,bat2_24june_2200_newchunks/imgs/chunk451square.png,TRUE,1
452,452,07:32,bat2_24june_2200_newchunks/imgs/chunk452square.png,TRUE,1
456,456,07:36,bat2_24june_2200_newchunks/imgs/chunk456square.png,TRUE,1
457,457,07:37,bat2_24june_2200_newchunks/imgs/chunk457square.png,TRUE,1
460,460,07:40,bat2_24june_2200_newchunks/imgs/chunk460square.png,TRUE,1
462,462,07:42,bat2_24june_2200_newchunks/imgs/chunk462square.png,TRUE,0.980469
467,467,07:47,bat2_24june_2200_newchunks/imgs/chunk467square.png,TRUE,1
468,468,07:48,bat2_24june_2200_newchunks/imgs/chunk468square.png,TRUE,0.949219
469,469,07:49,bat2_24june_2200_newchunks/imgs/chunk469square.png,TRUE,1
470,470,07:50,bat2_24june_2200_newchunks/imgs/chunk470square.png,TRUE,1
471,471,07:51,bat2_24june_2200_newchunks/imgs/chunk471square.png,TRUE,1
474,474,07:54,bat2_24june_2200_newchunks/imgs/chunk474square.png,TRUE,0.992188
475,475,07:55,bat2_24june_2200_newchunks/imgs/chunk475square.png,TRUE,1
477,477,07:57,bat2_24june_2200_newchunks/imgs/chunk477square.png,TRUE,1
480,480,08:00,bat2_24june_2200_newchunks/imgs/chunk480square.png,TRUE,0.949219
481,481,08:01,bat2_24june_2200_newchunks/imgs/chunk481square.png,TRUE,1
482,482,08:02,bat2_24june_2200_newchunks/imgs/chunk482square.png,TRUE,1
483,483,08:03,bat2_24june_2200_newchunks/imgs/chunk483square.png,TRUE,0.988281
484,484,08:04,bat2_24june_2200_newchunks/imgs/chunk484square.png,TRUE,0.949219
487,487,08:07,bat2_24june_2200_newchunks/imgs/chunk487square.png,TRUE,0.722656
488,488,08:08,bat2_24june_2200_newchunks/imgs/chunk488square.png,TRUE,0.988281
490,490,08:10,bat2_24june_2200_newchunks/imgs/chunk490square.png,TRUE,0.617188
492,492,08:12,bat2_24june_2200_newchunks/imgs/chunk492square.png,TRUE,1
494,494,08:14,bat2_24june_2200_newchunks/imgs/chunk494square.png,TRUE,1
495,495,08:15,bat2_24june_2200_newchunks/imgs/chunk495square.png,TRUE,1
497,497,08:17,bat2_24june_2200_newchunks/imgs/chunk497square.png,TRUE,1
499,499,08:19,bat2_24june_2200_newchunks/imgs/chunk499square.png,TRUE,0.996094
501,501,08:21,bat2_24june_2200_newchunks/imgs/chunk501square.png,TRUE,1
503,503,08:23,bat2_24june_2200_newchunks/imgs/chunk503square.png,TRUE,0.722656
504,504,08:24,bat2_24june_2200_newchunks/imgs/chunk504square.png,TRUE,1
508,508,08:28,bat2_24june_2200_newchunks/imgs/chunk508square.png,TRUE,0.980469
509,509,08:29,bat2_24june_2200_newchunks/imgs/chunk509square.png,TRUE,1
510,510,08:30,bat2_24june_2200_newchunks/imgs/chunk510square.png,TRUE,0.992188
511,511,08:31,bat2_24june_2200_newchunks/imgs/chunk511square.png,TRUE,1
522,522,08:42,bat2_24june_2200_newchunks/imgs/chunk522square.png,TRUE,0.996094
532,532,08:52,bat2_24june_2200_newchunks/imgs/chunk532square.png,TRUE,1
533,533,08:53,bat2_24june_2200_newchunks/imgs/chunk533square.png,TRUE,1
534,534,08:54,bat2_24june_2200_newchunks/imgs/chunk534square.png,TRUE,1
535,535,08:55,bat2_24june_2200_newchunks/imgs/chunk535square.png,TRUE,0.722656
541,541,09:01,bat2_24june_2200_newchunks/imgs/chunk541square.png,TRUE,0.949219
557,557,09:17,bat2_24june_2200_newchunks/imgs/chunk557square.png,TRUE,0.722656
565,565,09:25,bat2_24june_2200_newchunks/imgs/chunk565square.png,TRUE,0.980469
723,723,12:03,bat2_24june_2200_newchunks/imgs/chunk723square.png,TRUE,0.617188
790,790,13:10,bat2_24june_2200_newchunks/imgs/chunk790square.png,TRUE,0.988281
853,853,14:13,bat2_24june_2200_newchunks/imgs/chunk853square.png,TRUE,1
958,958,15:58,bat2_24june_2200_newchunks/imgs/chunk958square.png,TRUE,0.949219
986,986,16:26,bat2_24june_2200_newchunks/imgs/chunk986square.png,TRUE,0.917969
987,987,16:27,bat2_24june_2200_newchunks/imgs/chunk987square.png,TRUE,0.917969
988,988,16:28,bat2_24june_2200_newchunks/imgs/chunk988square.png,TRUE,0.949219
993,993,16:33,bat2_24june_2200_newchunks/imgs/chunk993square.png,TRUE,0.988281
994,994,16:34,bat2_24june_2200_newchunks/imgs/chunk994square.png,TRUE,0.617188
998,998,16:38,bat2_24june_2200_newchunks/imgs/chunk998square.png,TRUE,0.617188
1004,1004,16:44,bat2_24june_2200_newchunks/imgs/chunk1004square.png,TRUE,1
1006,1006,16:46,bat2_24june_2200_newchunks/imgs/chunk1006square.png,TRUE,0.992188
1007,1007,16:47,bat2_24june_2200_newchunks/imgs/chunk1007square.png,TRUE,0.722656
1012,1012,16:52,bat2_24june_2200_newchunks/imgs/chunk1012square.png,TRUE,1
1013,1013,16:53,bat2_24june_2200_newchunks/imgs/chunk1013square.png,TRUE,1
1014,1014,16:54,bat2_24june_2200_newchunks/imgs/chunk1014square.png,TRUE,1
1015,1015,16:55,bat2_24june_2200_newchunks/imgs/chunk1015square.png,TRUE,1
1061,1061,17:41,bat2_24june_2200_newchunks/imgs/chunk1061square.png,TRUE,1
1062,1062,17:42,bat2_24june_2200_newchunks/imgs/chunk1062square.png,TRUE,1
1063,1063,17:43,bat2_24june_2200_newchunks/imgs/chunk1063square.png,TRUE,1
1064,1064,17:44,bat2_24june_2200_newchunks/imgs/chunk1064square.png,TRUE,1
1065,1065,17:45,bat2_24june_2200_newchunks/imgs/chunk1065square.png,TRUE,1
1066,1066,17:46,bat2_24june_2200_newchunks/imgs/chunk1066square.png,TRUE,1
1067,1067,17:47,bat2_24june_2200_newchunks/imgs/chunk1067square.png,TRUE,1
1068,1068,17:48,bat2_24june_2200_newchunks/imgs/chunk1068square.png,TRUE,0.980469
1071,1071,17:51,bat2_24june_2200_newchunks/imgs/chunk1071square.png,TRUE,0.875
1073,1073,17:53,bat2_24june_2200_newchunks/imgs/chunk1073square.png,TRUE,1
1076,1076,17:56,bat2_24june_2200_newchunks/imgs/chunk1076square.png,TRUE,1
1077,1077,17:57,bat2_24june_2200_newchunks/imgs/chunk1077square.png,TRUE,1
1078,1078,17:58,bat2_24june_2200_newchunks/imgs/chunk1078square.png,TRUE,1
1079,1079,17:59,bat2_24june_2200_newchunks/imgs/chunk1079square.png,TRUE,1
